model,system,window,metric,stratum,n_devices,n_scenes,n_groups,group_macro,median,p90
E3_GCN_H128,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.02802163204270865,0.0029799236901227474,0.018487572391065892
E3_GCN_H128,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.08613927806881481,0.02539376440195828,0.12357658641501992
E3_GCN_H128,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.027164350126824416,0.0023461725477898075,0.015539632954663707
E4_UGCN,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.014299011733842808,0.007673518477870517,0.015382957979147627
E4_UGCN,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.019402841978210968,0.005186399489006828,0.012844187638627057
E4_UGCN,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.02195708279225993,0.016780413695602875,0.03464661056172732
E4_UGCN,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.019471894984626658,0.012322489520796275,0.02880005417304297
E4_UGCN,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.010611940627108338,0.006453113552643859,0.013888528872837288
E4_UGCN,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.011525026962310935,0.0041052310724192485,0.011162535844665769
E4_UGCN,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.012130532999761428,0.005536008397509512,0.013774825007294754
E4_UGCN,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.018446878687432815,0.003131924805712436,0.01047152522904575
E4_UGCN,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.05802903912228249,0.026542526720437862,0.10082155080628659
E4_UGCN,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.023187495453216495,0.011223861568940813,0.03505929428109443
E4_UGCN,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.052307292039328275,0.03507237656060739,0.11706228022699387
E4_UGCN,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.03466664445393471,0.025181465318582556,0.06742776123586139
E4_UGCN,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.06719866249687846,0.025380220739450975,0.10575130706510684
E4_UGCN,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.016054576337533565,0.0056374752385081935,0.027006760898330855
E4_UGCN,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.07044672446818044,0.02046315984138532,0.11068058007917213
E4_UGCN,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.012741598381622074,0.005152792690440989,0.02539458195347319
